Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-02-25,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0
2020-02-26,0.0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,145.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0
2020-02-27,0.0,0.0,0.0,1.0,54.0,0.0,0.0,10.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0
2020-02-28,0.0,0.0,1.0,2.0,81.0,0.0,0.0,10.0,192.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,116.0
2020-02-29,0.0,0.0,1.0,10.0,116.0,0.0,0.0,33.0,216.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,154.0
2020-03-01,2.0,0.0,1.0,13.0,137.0,6.0,0.0,8.0,375.0,8.0,0.0,0.0,0.0,36.0,2.0,0.0,6.0,5.0,2.0,0.0,197.0
2020-03-02,2.0,0.0,1.0,13.0,160.0,9.0,1.0,5.0,472.0,11.0,0.0,0.0,0.0,37.0,2.0,0.0,3.0,5.0,2.0,0.0,204.0
2020-03-03,1.0,1.0,1.0,19.0,187.0,12.0,1.0,5.0,461.0,19.0,0.0,0.0,3.0,40.0,4.0,0.0,3.0,8.0,6.0,0.0,229.0
2020-03-04,0.0,1.0,1.0,20.0,234.0,15.0,9.0,8.0,411.0,31.0,0.0,0.0,4.0,43.0,3.0,1.0,11.0,20.0,7.0,0.0,246.0
2020-03-05,0.0,1.0,1.0,33.0,299.0,17.0,14.0,7.0,364.0,44.0,3.0,0.0,5.0,46.0,6.0,0.0,11.0,31.0,7.0,2.0,264.0
2020-03-06,0.0,2.0,2.0,45.0,366.0,24.0,16.0,7.0,77.0,62.0,7.0,0.0,6.0,52.0,9.0,3.0,15.0,38.0,12.0,7.0,310.0
2020-03-07,0.0,2.0,2.0,45.0,409.0,31.0,21.0,10.0,722.0,71.0,9.0,1.0,7.0,54.0,12.0,3.0,25.0,51.0,20.0,7.0,341.0
2020-03-08,3.0,2.0,4.0,63.0,480.0,45.0,26.0,17.0,756.0,114.0,8.0,1.0,14.0,65.0,16.0,6.0,33.0,67.0,22.0,8.0,430.0
2020-03-09,5.0,3.0,1.0,69.0,620.0,70.0,31.0,20.0,1248.0,130.0,8.0,1.0,21.0,65.0,20.0,11.0,33.0,90.0,22.0,11.0,457.0
2020-03-10,11.0,5.0,1.0,85.0,650.0,77.0,34.0,42.0,642.0,175.0,9.0,20.0,28.0,64.0,21.0,11.0,41.0,129.0,27.0,15.0,512.0
2020-03-11,11.0,6.0,5.0,82.0,739.0,89.0,40.0,73.0,1351.0,183.0,9.0,63.0,42.0,86.0,29.0,27.0,57.0,173.0,32.0,17.0,610.0
2020-03-12,19.0,6.0,16.0,107.0,832.0,115.0,67.0,107.0,2044.0,240.0,9.0,78.0,54.0,89.0,38.0,27.0,78.0,193.0,46.0,19.0,852.0
2020-03-13,27.0,8.0,16.0,134.0,941.0,169.0,96.0,132.0,2647.0,276.0,9.0,98.0,93.0,103.0,42.0,31.0,82.0,244.0,52.0,21.0,980.0
2020-03-14,41.0,8.0,33.0,154.0,1121.0,193.0,114.0,109.0,3429.0,321.0,9.0,137.0,119.0,126.0,59.0,33.0,97.0,367.0,71.0,29.0,1290.0
2020-03-15,28.0,9.0,28.0,201.0,1357.0,206.0,142.0,174.0,3776.0,468.0,10.0,145.0,275.0,133.0,90.0,59.0,108.0,481.0,101.0,43.0,1434.0
2020-03-16,57.0,9.0,44.0,238.0,1529.0,231.0,174.0,247.0,3867.0,547.0,7.0,171.0,275.0,174.0,90.0,66.0,108.0,559.0,114.0,70.0,1620.0
2020-03-17,90.0,13.0,57.0,272.0,1615.0,222.0,192.0,277.0,4263.0,594.0,7.0,200.0,239.0,180.0,151.0,75.0,112.0,552.0,135.0,93.0,1769.0
2020-03-18,109.0,16.0,70.0,272.0,1884.0,261.0,232.0,243.0,4057.0,719.0,8.0,269.0,273.0,180.0,176.0,83.0,138.0,704.0,166.0,118.0,2112.0
2020-03-19,138.0,24.0,91.0,356.0,2346.0,359.0,270.0,280.0,5545.0,825.0,13.0,316.0,292.0,218.0,245.0,152.0,142.0,743.0,238.0,153.0,2189.0
2020-03-20,184.0,39.0,114.0,531.0,2739.0,380.0,328.0,307.0,6635.0,1002.0,13.0,407.0,368.0,1423.0,329.0,217.0,169.0,923.0,285.0,194.0,2598.0
2020-03-21,265.0,47.0,136.0,473.0,3129.0,477.0,425.0,432.0,8019.0,1114.0,20.0,443.0,448.0,1229.0,400.0,240.0,204.0,1039.0,326.0,227.0,3023.0
2020-03-22,272.0,58.0,166.0,524.0,3692.0,528.0,522.0,483.0,7304.0,1277.0,21.0,470.0,604.0,1701.0,459.0,244.0,321.0,1223.0,368.0,270.0,3276.0
