Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,76.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-02-25,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,79.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0
2020-02-26,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6.0,79.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,16.0
2020-02-27,1.0,0.0,0.0,2.0,36.0,0.0,0.0,9.0,172.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,19.0
2020-02-28,1.0,0.0,0.0,2.0,56.0,0.0,0.0,9.0,235.0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,24.0
2020-02-29,2.0,0.0,0.0,3.0,86.0,0.0,3.0,4.0,256.0,6.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,24.0
2020-03-01,3.0,0.0,0.0,4.0,127.0,0.0,3.0,12.0,406.0,12.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,7.0,0.0,0.0,51.0
2020-03-02,3.0,0.0,0.0,4.0,148.0,0.0,3.0,12.0,478.0,17.0,0.0,1.0,0.0,12.0,2.0,0.0,2.0,7.0,0.0,0.0,53.0
2020-03-03,5.0,0.0,0.0,11.0,187.0,1.0,10.0,12.0,698.0,27.0,3.0,1.0,1.0,13.0,2.0,1.0,2.0,10.0,1.0,0.0,49.0
2020-03-04,7.0,0.0,0.0,11.0,256.0,3.0,15.0,10.0,877.0,34.0,3.0,1.0,1.0,26.0,4.0,1.0,5.0,15.0,1.0,0.0,76.0
2020-03-05,8.0,0.0,1.0,12.0,327.0,4.0,20.0,11.0,1169.0,57.0,4.0,1.0,2.0,43.0,5.0,2.0,5.0,26.0,1.0,0.0,92.0
2020-03-06,9.0,1.0,2.0,12.0,397.0,4.0,26.0,12.0,1622.0,73.0,3.0,4.0,4.0,57.0,5.0,2.0,7.0,35.0,2.0,0.0,117.0
2020-03-07,11.0,1.0,2.0,16.0,464.0,7.0,43.0,26.0,1661.0,94.0,3.0,8.0,6.0,110.0,9.0,2.0,8.0,54.0,2.0,1.0,123.0
2020-03-08,14.0,2.0,5.0,30.0,542.0,7.0,47.0,39.0,2217.0,110.0,4.0,8.0,7.0,245.0,17.0,5.0,18.0,91.0,2.0,1.0,146.0
2020-03-09,25.0,2.0,8.0,42.0,576.0,18.0,55.0,60.0,2802.0,136.0,4.0,8.0,10.0,222.0,20.0,8.0,19.0,107.0,4.0,4.0,186.0
2020-03-10,17.0,2.0,8.0,33.0,669.0,27.0,50.0,57.0,3319.0,152.0,3.0,17.0,19.0,306.0,28.0,9.0,17.0,91.0,8.0,2.0,204.0
2020-03-11,17.0,1.0,10.0,56.0,745.0,16.0,67.0,74.0,3852.0,212.0,4.0,8.0,28.0,319.0,38.0,10.0,23.0,87.0,7.0,2.0,262.0
2020-03-12,47.0,1.0,14.0,56.0,814.0,23.0,85.0,100.0,4247.0,254.0,4.0,21.0,43.0,368.0,58.0,12.0,28.0,100.0,8.0,7.0,360.0
2020-03-13,42.0,1.0,18.0,60.0,942.0,59.0,122.0,128.0,4435.0,337.0,5.0,20.0,58.0,556.0,77.0,12.0,37.0,134.0,11.0,6.0,366.0
2020-03-14,51.0,0.0,22.0,72.0,1076.0,67.0,181.0,213.0,4898.0,449.0,5.0,26.0,68.0,538.0,91.0,14.0,42.0,160.0,21.0,12.0,366.0
2020-03-15,72.0,0.0,32.0,73.0,1215.0,98.0,223.0,253.0,5500.0,521.0,3.0,50.0,73.0,726.0,116.0,16.0,56.0,175.0,25.0,10.0,426.0
2020-03-16,71.0,1.0,36.0,103.0,1362.0,96.0,267.0,255.0,6171.0,528.0,3.0,53.0,73.0,1045.0,116.0,39.0,75.0,175.0,30.0,28.0,498.0
2020-03-17,94.0,5.0,45.0,127.0,1566.0,104.0,314.0,299.0,6953.0,599.0,7.0,71.0,107.0,1378.0,155.0,36.0,86.0,329.0,36.0,35.0,548.0
2020-03-18,99.0,9.0,45.0,127.0,1784.0,128.0,374.0,401.0,7285.0,638.0,7.0,79.0,141.0,1780.0,156.0,42.0,100.0,427.0,54.0,41.0,646.0
2020-03-19,181.0,8.0,60.0,213.0,1900.0,134.0,426.0,491.0,7387.0,656.0,19.0,87.0,169.0,2279.0,173.0,43.0,143.0,501.0,69.0,47.0,771.0
2020-03-20,190.0,8.0,71.0,130.0,2083.0,143.0,537.0,573.0,7735.0,704.0,20.0,99.0,198.0,1541.0,191.0,56.0,168.0,601.0,75.0,54.0,843.0
2020-03-21,185.0,12.0,73.0,233.0,2267.0,152.0,591.0,598.0,8258.0,742.0,21.0,127.0,233.0,1976.0,209.0,65.0,206.0,664.0,92.0,62.0,942.0
2020-03-22,218.0,13.0,77.0,243.0,2429.0,163.0,671.0,736.0,9439.0,816.0,24.0,146.0,235.0,2118.0,252.0,67.0,220.0,706.0,97.0,63.0,1113.0
2020-03-23,228.0,15.0,82.0,266.0,2846.0,185.0,718.0,761.0,9266.0,882.0,25.0,145.0,249.0,2194.0,285.0,76.0,250.0,838.0,106.0,69.0,1206.0
2020-03-24,234.0,14.0,88.0,345.0,2974.0,195.0,747.0,803.0,9711.0,862.0,27.0,166.0,308.0,2404.0,317.0,80.0,250.0,918.0,105.0,71.0,1318.0
2020-03-25,248.0,20.0,93.0,318.0,3180.0,200.0,805.0,927.0,10026.0,938.0,26.0,190.0,308.0,2544.0,349.0,82.0,259.0,999.0,123.0,70.0,1407.0
2020-03-26,280.0,22.0,101.0,448.0,3354.0,212.0,878.0,998.0,10681.0,977.0,27.0,223.0,300.0,2633.0,480.0,92.0,346.0,1037.0,144.0,73.0,1447.0
2020-03-27,289.0,22.0,103.0,456.0,3461.0,222.0,992.0,1023.0,11137.0,979.0,26.0,249.0,341.0,2852.0,530.0,93.0,425.0,1053.0,149.0,91.0,1536.0
2020-03-28,311.0,26.0,107.0,463.0,3695.0,223.0,985.0,1031.0,11152.0,987.0,26.0,225.0,351.0,3094.0,563.0,95.0,441.0,1093.0,159.0,90.0,1559.0
2020-03-29,329.0,32.0,124.0,476.0,3769.0,236.0,1062.0,1077.0,11613.0,1000.0,25.0,234.0,356.0,2985.0,559.0,105.0,451.0,1111.0,166.0,90.0,1586.0
