Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-02-25,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-02-26,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-02-27,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-02-28,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-02-29,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-03-01,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,106.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-03-02,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,127.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2020-03-03,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,167.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
2020-03-04,0.0,0.0,0.0,0.0,26.0,0.0,3.0,3.0,209.0,15.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,23.0
2020-03-05,0.0,0.0,0.0,0.0,32.0,0.0,7.0,3.0,244.0,19.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,3.0,1.0,0.0,24.0
2020-03-06,0.0,0.0,0.0,0.0,53.0,0.0,8.0,5.0,309.0,20.0,2.0,0.0,0.0,30.0,1.0,0.0,0.0,5.0,2.0,0.0,27.0
