Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,172.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2020-02-25,0.0,0.0,0.0,0.0,26.0,0.0,3.0,1.0,240.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,43.0
2020-02-26,0.0,0.0,0.0,0.0,47.0,0.0,3.0,11.0,258.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,71.0
2020-02-27,1.0,0.0,0.0,3.0,97.0,0.0,3.0,19.0,403.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,111.0
2020-02-28,1.0,0.0,1.0,4.0,145.0,0.0,3.0,19.0,531.0,6.0,0.0,1.0,0.0,11.0,3.0,0.0,4.0,8.0,0.0,0.0,151.0
2020-02-29,2.0,0.0,1.0,13.0,217.0,0.0,6.0,42.0,615.0,11.0,0.0,1.0,0.0,11.0,3.0,0.0,4.0,11.0,0.0,0.0,191.0
2020-03-01,5.0,0.0,1.0,17.0,285.0,6.0,6.0,25.0,984.0,25.0,0.0,1.0,0.0,49.0,3.0,0.0,9.0,13.0,2.0,0.0,263.0
2020-03-02,5.0,0.0,1.0,17.0,335.0,9.0,7.0,22.0,1254.0,35.0,0.0,1.0,0.0,51.0,4.0,0.0,7.0,13.0,2.0,0.0,273.0
2020-03-03,6.0,1.0,1.0,30.0,420.0,13.0,14.0,24.0,1520.0,61.0,3.0,1.0,4.0,56.0,6.0,1.0,7.0,19.0,8.0,0.0,307.0
2020-03-04,7.0,1.0,1.0,31.0,544.0,18.0,30.0,26.0,1820.0,84.0,3.0,1.0,5.0,82.0,9.0,2.0,18.0,38.0,9.0,0.0,360.0
