Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,166.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
2020-02-25,0.0,0.0,0.0,0.0,26.0,0.0,2.0,1.0,231.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,42.0
2020-02-26,0.0,0.0,0.0,0.0,46.0,0.0,0.0,11.0,249.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,69.0
2020-02-27,1.0,0.0,0.0,3.0,96.0,0.0,0.0,19.0,349.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,109.0
2020-02-28,1.0,0.0,1.0,4.0,143.0,0.0,0.0,19.0,474.0,6.0,0.0,1.0,0.0,11.0,3.0,0.0,2.0,7.0,0.0,0.0,149.0
2020-02-29,2.0,0.0,1.0,13.0,213.0,0.0,3.0,38.0,552.0,11.0,0.0,1.0,0.0,11.0,3.0,0.0,2.0,10.0,0.0,0.0,189.0
2020-03-01,5.0,0.0,1.0,17.0,277.0,6.0,3.0,21.0,887.0,25.0,0.0,1.0,0.0,49.0,3.0,0.0,7.0,12.0,2.0,0.0,261.0
2020-03-02,5.0,0.0,1.0,17.0,324.0,9.0,4.0,18.0,1077.0,34.0,0.0,1.0,0.0,51.0,4.0,0.0,5.0,12.0,2.0,0.0,271.0
2020-03-03,6.0,1.0,1.0,30.0,398.0,13.0,11.0,19.0,1326.0,59.0,3.0,1.0,4.0,56.0,6.0,1.0,5.0,18.0,8.0,0.0,297.0
2020-03-04,7.0,1.0,1.0,31.0,516.0,18.0,27.0,21.0,1497.0,80.0,3.0,1.0,5.0,82.0,7.0,2.0,16.0,37.0,9.0,0.0,345.0
2020-03-05,8.0,1.0,2.0,45.0,658.0,21.0,41.0,21.0,1777.0,120.0,7.0,1.0,7.0,106.0,12.0,2.0,16.0,60.0,9.0,2.0,380.0
2020-03-06,9.0,3.0,4.0,57.0,816.0,28.0,50.0,24.0,2008.0,155.0,12.0,4.0,10.0,139.0,15.0,5.0,22.0,78.0,16.0,7.0,454.0
2020-03-07,11.0,3.0,4.0,61.0,937.0,39.0,72.0,42.0,2742.0,201.0,14.0,9.0,14.0,202.0,23.0,5.0,33.0,112.0,24.0,8.0,505.0
2020-03-08,17.0,4.0,9.0,100.0,1097.0,53.0,81.0,67.0,3372.0,265.0,14.0,9.0,23.0,355.0,36.0,11.0,51.0,165.0,26.0,9.0,623.0
2020-03-09,30.0,5.0,9.0,119.0,1286.0,89.0,94.0,97.0,4490.0,313.0,14.0,9.0,33.0,337.0,46.0,19.0,52.0,206.0,28.0,15.0,694.0
2020-03-10,37.0,7.0,11.0,126.0,1417.0,110.0,99.0,128.0,4427.0,381.0,15.0,38.0,50.0,436.0,55.0,20.0,60.0,260.0,37.0,17.0,783.0
2020-03-11,37.0,8.0,17.0,149.0,1588.0,110.0,125.0,181.0,5763.0,461.0,16.0,75.0,74.0,480.0,71.0,37.0,81.0,314.0,44.0,19.0,940.0
2020-03-12,78.0,8.0,32.0,174.0,1758.0,148.0,172.0,243.0,6896.0,570.0,16.0,103.0,102.0,554.0,98.0,39.0,111.0,352.0,62.0,26.0,1297.0
2020-03-13,83.0,10.0,37.0,213.0,2011.0,236.0,242.0,304.0,7732.0,698.0,17.0,123.0,157.0,794.0,121.0,43.0,126.0,455.0,73.0,27.0,1453.0
2020-03-14,106.0,10.0,59.0,243.0,2349.0,271.0,320.0,384.0,9059.0,863.0,17.0,170.0,199.0,814.0,156.0,47.0,150.0,614.0,103.0,41.0,1775.0
2020-03-15,128.0,11.0,66.0,296.0,2741.0,316.0,396.0,493.0,10043.0,1087.0,17.0,199.0,367.0,1030.0,212.0,75.0,179.0,763.0,139.0,56.0,1989.0
2020-03-16,165.0,12.0,87.0,363.0,3088.0,346.0,472.0,575.0,10861.0,1185.0,15.0,235.0,367.0,1405.0,212.0,105.0,203.0,841.0,159.0,103.0,2274.0
2020-03-17,216.0,20.0,112.0,423.0,3404.0,347.0,550.0,661.0,12095.0,1302.0,19.0,282.0,368.0,1764.0,320.0,115.0,226.0,1024.0,192.0,134.0,2488.0
2020-03-18,249.0,27.0,126.0,423.0,3915.0,416.0,650.0,744.0,12266.0,1476.0,21.0,366.0,436.0,2187.0,362.0,132.0,267.0,1291.0,241.0,162.0,2953.0
2020-03-19,366.0,37.0,164.0,605.0,4506.0,522.0,741.0,883.0,13938.0,1622.0,38.0,421.0,491.0,2754.0,449.0,204.0,321.0,1422.0,328.0,209.0,3169.0
2020-03-20,422.0,52.0,201.0,702.0,5089.0,555.0,912.0,1001.0,15420.0,1844.0,39.0,530.0,600.0,3244.0,551.0,288.0,379.0,1713.0,384.0,257.0,3677.0
2020-03-21,494.0,66.0,225.0,793.0,5661.0,666.0,1086.0,1159.0,17370.0,1997.0,47.0,600.0,720.0,3506.0,642.0,321.0,458.0,1905.0,447.0,304.0,4214.0
2020-03-22,539.0,81.0,260.0,866.0,6390.0,738.0,1272.0,1351.0,17885.0,2231.0,52.0,648.0,885.0,4127.0,748.0,327.0,596.0,2144.0,500.0,354.0,4644.0
2020-03-23,605.0,89.0,280.0,929.0,7220.0,771.0,1414.0,1553.0,18910.0,2358.0,50.0,688.0,914.0,4529.0,862.0,343.0,681.0,2301.0,556.0,379.0,4986.0
2020-03-24,622.0,91.0,304.0,992.0,7711.0,848.0,1545.0,1692.0,19868.0,2497.0,55.0,699.0,975.0,5124.0,940.0,395.0,799.0,2519.0,624.0,379.0,5351.0
2020-03-25,738.0,112.0,333.0,1072.0,8256.0,911.0,1675.0,1826.0,20591.0,2639.0,53.0,748.0,1058.0,5556.0,1023.0,412.0,936.0,2776.0,686.0,375.0,5745.0
2020-03-26,860.0,133.0,372.0,1169.0,8850.0,954.0,1835.0,2027.0,22189.0,2795.0,81.0,791.0,1094.0,5950.0,1095.0,462.0,1095.0,2973.0,770.0,378.0,6140.0
2020-03-27,925.0,147.0,469.0,1292.0,9361.0,1027.0,2013.0,2060.0,23895.0,2850.0,86.0,833.0,1164.0,6347.0,1236.0,496.0,1158.0,3170.0,824.0,413.0,6648.0
2020-03-28,1027.0,178.0,523.0,1407.0,9964.0,1120.0,2181.0,2086.0,24509.0,2999.0,98.0,929.0,1234.0,6851.0,1358.0,569.0,1242.0,3511.0,898.0,468.0,6913.0
2020-03-29,1169.0,197.0,577.0,1556.0,10535.0,1141.0,2362.0,2279.0,25392.0,3160.0,100.0,1034.0,1293.0,7268.0,1432.0,582.0,1330.0,3786.0,897.0,539.0,7251.0
2020-03-30,1169.0,208.0,602.0,1739.0,10766.0,1109.0,2497.0,2383.0,25006.0,3251.0,107.0,1098.0,1357.0,7655.0,1585.0,622.0,1408.0,4050.0,834.0,518.0,7564.0
2020-03-31,1191.0,216.0,606.0,1871.0,10953.0,1160.0,2642.0,2508.0,25124.0,3352.0,117.0,1142.0,1389.0,8082.0,1654.0,657.0,1492.0,4226.0,851.0,552.0,7850.0
2020-04-01,1211.0,225.0,610.0,1976.0,11489.0,1206.0,2758.0,2645.0,25765.0,3456.0,131.0,1112.0,1483.0,8470.0,1756.0,675.0,1544.0,4432.0,864.0,540.0,8224.0
2020-04-02,1251.0,233.0,627.0,2140.0,11859.0,1294.0,2879.0,2660.0,25876.0,3555.0,133.0,1160.0,1587.0,8799.0,1864.0,718.0,1606.0,4789.0,885.0,556.0,8578.0
2020-04-03,1301.0,247.0,662.0,2352.0,12178.0,1324.0,3009.0,2746.0,26189.0,3631.0,144.0,1209.0,1659.0,9130.0,1949.0,744.0,1664.0,4909.0,920.0,560.0,8861.0
2020-04-04,1356.0,244.0,662.0,2496.0,12523.0,1336.0,3106.0,2894.0,27220.0,3497.0,171.0,1201.0,1753.0,9693.0,1973.0,789.0,1726.0,5054.0,927.0,560.0,9093.0
2020-04-05,1420.0,254.0,706.0,2621.0,12837.0,1363.0,3186.0,3093.0,28124.0,3578.0,187.0,1226.0,1795.0,10177.0,2022.0,815.0,1774.0,5185.0,898.0,576.0,9409.0
2020-04-06,1425.0,262.0,722.0,2698.0,13051.0,1396.0,3300.0,3117.0,28469.0,3706.0,187.0,1260.0,1838.0,10545.0,2115.0,819.0,1815.0,5301.0,872.0,567.0,9722.0
2020-04-07,1491.0,265.0,733.0,2765.0,13048.0,1379.0,3365.0,3212.0,28343.0,3738.0,185.0,1301.0,1890.0,10704.0,2137.0,821.0,1859.0,5427.0,846.0,593.0,9965.0
2020-04-08,1534.0,270.0,755.0,2859.0,13110.0,1415.0,3448.0,3245.0,28545.0,3562.0,181.0,1281.0,1940.0,10989.0,2238.0,840.0,1893.0,5557.0,823.0,606.0,10171.0
2020-04-09,1566.0,275.0,765.0,2873.0,13258.0,1390.0,3532.0,3253.0,29074.0,3401.0,189.0,1315.0,1978.0,11336.0,2301.0,876.0,1942.0,5703.0,792.0,609.0,10449.0
2020-04-10,1635.0,279.0,786.0,2963.0,13350.0,1398.0,3633.0,3301.0,29530.0,3316.0,193.0,1317.0,1994.0,11576.0,2336.0,876.0,1967.0,5822.0,752.0,602.0,10647.0
2020-04-11,1724.0,281.0,792.0,3002.0,13495.0,1382.0,3730.0,3333.0,30258.0,3231.0,193.0,1269.0,2064.0,12170.0,2402.0,888.0,2001.0,5992.0,723.0,590.0,10749.0
2020-04-12,1742.0,277.0,795.0,3057.0,13672.0,1326.0,3817.0,3333.0,31265.0,3114.0,202.0,1515.0,2082.0,12505.0,2452.0,903.0,2030.0,6162.0,687.0,588.0,10729.0
2020-04-13,1778.0,270.0,791.0,3062.0,13818.0,1307.0,3920.0,3365.0,31935.0,3080.0,202.0,1537.0,2080.0,12765.0,2512.0,914.0,2050.0,6257.0,625.0,582.0,10766.0
2020-04-14,1800.0,265.0,816.0,3094.0,13778.0,899.0,4022.0,3466.0,32363.0,3095.0,200.0,1564.0,2082.0,13055.0,2552.0,900.0,2071.0,6352.0,622.0,559.0,10736.0
2020-04-15,1810.0,261.0,819.0,3087.0,13577.0,1394.0,4047.0,3464.0,32921.0,3097.0,206.0,1576.0,2104.0,13195.0,2573.0,870.0,2081.0,6417.0,582.0,548.0,10789.0
2020-04-16,1850.0,273.0,847.0,3118.0,13663.0,1330.0,4144.0,3437.0,33090.0,3124.0,203.0,1593.0,2087.0,13783.0,2625.0,865.0,2108.0,6613.0,536.0,518.0,10800.0
2020-04-17,1942.0,266.0,819.0,3027.0,13585.0,1428.0,4214.0,3459.0,33434.0,3157.0,208.0,1582.0,1990.0,13998.0,2656.0,872.0,2139.0,6583.0,494.0,491.0,10618.0
2020-04-18,1971.0,262.0,832.0,3045.0,13584.0,1403.0,4282.0,3412.0,34195.0,3172.0,209.0,1556.0,1985.0,14223.0,2694.0,881.0,2171.0,6470.0,431.0,549.0,10444.0
