Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0
2020-02-26,0.0,0.0,0.0,0.0,20.0,0.0,-2.0,10.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
2020-02-27,1.0,0.0,0.0,3.0,50.0,0.0,0.0,8.0,100.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,40.0
2020-02-28,0.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,125.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,5.0,0.0,0.0,40.0
2020-02-29,1.0,0.0,0.0,9.0,70.0,0.0,3.0,19.0,78.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0
2020-03-01,3.0,0.0,0.0,4.0,64.0,6.0,0.0,-17.0,335.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,5.0,2.0,2.0,0.0,72.0
2020-03-02,0.0,0.0,0.0,0.0,47.0,3.0,1.0,-3.0,190.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.0,0.0,0.0,0.0,10.0
2020-03-03,1.0,1.0,0.0,13.0,74.0,4.0,7.0,1.0,249.0,25.0,3.0,0.0,4.0,5.0,2.0,1.0,0.0,6.0,6.0,0.0,26.0
2020-03-04,1.0,0.0,0.0,1.0,118.0,5.0,16.0,2.0,171.0,21.0,0.0,0.0,1.0,26.0,1.0,1.0,11.0,19.0,1.0,0.0,48.0
2020-03-05,1.0,0.0,1.0,14.0,142.0,3.0,14.0,0.0,280.0,40.0,4.0,0.0,2.0,24.0,5.0,0.0,0.0,23.0,0.0,2.0,35.0
2020-03-06,1.0,2.0,2.0,12.0,158.0,7.0,9.0,3.0,231.0,35.0,5.0,3.0,3.0,33.0,3.0,3.0,6.0,18.0,7.0,5.0,74.0
2020-03-07,2.0,0.0,0.0,4.0,121.0,11.0,22.0,18.0,734.0,46.0,2.0,5.0,4.0,63.0,8.0,0.0,11.0,34.0,8.0,1.0,51.0
2020-03-08,6.0,1.0,5.0,39.0,160.0,14.0,9.0,25.0,630.0,64.0,0.0,0.0,9.0,153.0,13.0,6.0,18.0,53.0,2.0,1.0,118.0
2020-03-09,13.0,1.0,0.0,19.0,189.0,36.0,13.0,30.0,1118.0,48.0,0.0,0.0,10.0,-18.0,10.0,8.0,1.0,41.0,2.0,6.0,71.0
2020-03-10,7.0,2.0,2.0,7.0,131.0,21.0,5.0,31.0,-63.0,68.0,1.0,29.0,17.0,99.0,9.0,1.0,8.0,54.0,9.0,2.0,89.0
2020-03-11,0.0,1.0,6.0,23.0,171.0,0.0,26.0,53.0,1336.0,80.0,1.0,37.0,24.0,44.0,16.0,17.0,21.0,54.0,7.0,2.0,157.0
2020-03-12,41.0,0.0,15.0,25.0,170.0,38.0,47.0,62.0,1133.0,109.0,0.0,28.0,28.0,74.0,27.0,2.0,30.0,38.0,18.0,7.0,357.0
2020-03-13,5.0,2.0,5.0,39.0,253.0,88.0,70.0,61.0,836.0,128.0,1.0,20.0,55.0,240.0,23.0,4.0,15.0,103.0,11.0,1.0,156.0
2020-03-14,23.0,0.0,22.0,30.0,338.0,35.0,78.0,80.0,1327.0,165.0,0.0,47.0,42.0,20.0,35.0,4.0,24.0,159.0,30.0,14.0,322.0
2020-03-15,22.0,1.0,7.0,53.0,392.0,45.0,76.0,109.0,984.0,224.0,0.0,29.0,168.0,216.0,56.0,28.0,29.0,149.0,36.0,15.0,214.0
2020-03-16,37.0,1.0,21.0,67.0,347.0,30.0,76.0,82.0,818.0,98.0,-2.0,36.0,0.0,375.0,0.0,30.0,24.0,78.0,20.0,47.0,285.0
2020-03-17,51.0,8.0,25.0,60.0,316.0,1.0,78.0,86.0,1234.0,117.0,4.0,47.0,1.0,359.0,108.0,10.0,23.0,183.0,33.0,31.0,214.0
2020-03-18,33.0,7.0,14.0,0.0,511.0,69.0,100.0,83.0,171.0,174.0,2.0,84.0,68.0,423.0,42.0,17.0,41.0,267.0,49.0,28.0,465.0
2020-03-19,117.0,10.0,38.0,182.0,591.0,106.0,91.0,139.0,1672.0,146.0,17.0,55.0,55.0,567.0,87.0,72.0,54.0,131.0,87.0,47.0,216.0
2020-03-20,56.0,15.0,37.0,97.0,583.0,33.0,171.0,118.0,1482.0,222.0,1.0,109.0,109.0,490.0,102.0,84.0,58.0,291.0,56.0,48.0,508.0
2020-03-21,72.0,14.0,24.0,91.0,572.0,111.0,174.0,158.0,1950.0,153.0,8.0,70.0,120.0,262.0,91.0,33.0,79.0,192.0,63.0,47.0,537.0
2020-03-22,45.0,15.0,35.0,73.0,729.0,72.0,186.0,192.0,515.0,234.0,5.0,48.0,165.0,621.0,106.0,6.0,138.0,239.0,53.0,50.0,430.0
2020-03-23,66.0,8.0,20.0,63.0,830.0,33.0,142.0,202.0,1025.0,127.0,-2.0,40.0,29.0,402.0,114.0,16.0,85.0,157.0,56.0,25.0,342.0
2020-03-24,17.0,2.0,24.0,63.0,491.0,77.0,131.0,139.0,958.0,139.0,5.0,11.0,61.0,595.0,78.0,52.0,118.0,218.0,68.0,0.0,365.0
2020-03-25,116.0,21.0,29.0,80.0,545.0,63.0,130.0,134.0,723.0,142.0,-2.0,49.0,83.0,432.0,83.0,17.0,137.0,257.0,62.0,-4.0,394.0
2020-03-26,122.0,21.0,39.0,97.0,594.0,43.0,160.0,201.0,1598.0,156.0,28.0,43.0,36.0,394.0,72.0,50.0,159.0,197.0,84.0,3.0,395.0
2020-03-27,65.0,14.0,97.0,123.0,511.0,73.0,178.0,33.0,1706.0,55.0,5.0,42.0,70.0,397.0,141.0,34.0,63.0,197.0,54.0,35.0,508.0
2020-03-28,102.0,31.0,54.0,115.0,603.0,93.0,168.0,26.0,614.0,149.0,12.0,96.0,70.0,504.0,122.0,73.0,84.0,341.0,74.0,55.0,265.0
2020-03-29,142.0,19.0,54.0,149.0,571.0,21.0,181.0,193.0,883.0,161.0,2.0,105.0,59.0,417.0,74.0,13.0,88.0,275.0,-1.0,71.0,338.0
2020-03-30,0.0,11.0,25.0,183.0,231.0,-32.0,135.0,104.0,-386.0,91.0,7.0,64.0,64.0,387.0,153.0,40.0,78.0,264.0,-63.0,-21.0,313.0
2020-03-31,22.0,8.0,4.0,132.0,187.0,51.0,145.0,125.0,118.0,101.0,10.0,44.0,32.0,427.0,69.0,35.0,84.0,176.0,17.0,34.0,286.0
2020-04-01,20.0,9.0,4.0,105.0,536.0,46.0,116.0,137.0,641.0,104.0,14.0,-30.0,94.0,388.0,102.0,18.0,52.0,206.0,13.0,-12.0,374.0
2020-04-02,40.0,8.0,17.0,164.0,370.0,88.0,121.0,15.0,111.0,99.0,2.0,48.0,104.0,329.0,108.0,43.0,62.0,357.0,21.0,16.0,354.0
2020-04-03,50.0,14.0,35.0,212.0,319.0,30.0,130.0,86.0,313.0,76.0,11.0,49.0,72.0,331.0,85.0,26.0,58.0,120.0,35.0,4.0,283.0
